title,album,composer,spotify,youtube,artist
Cleveland Now,Album: ***UPTIGHT***      Utgiven:  2002,Kompositör: Booker T Jones,https://play.spotify.com/track/1vPRD5iG9ohqAEOlOlbQlb,https://www.youtube.com/results?search_query=Booker%20T%20%26%20The%20Mg:S%20Cleveland%20Now,Booker T & The Mg:S
Our Lives Are Shaped By What We Love,Album: ***MOTOWN'S MOWEST STORY 1971-1973***      Utgiven:  2011,Kompositör: C L R James,https://play.spotify.com/track/6uF3aECB81ZUgo9FpjGNUm,https://www.youtube.com/results?search_query=Odyssey%20Our%20Lives%20Are%20Shaped%20By%20What%20We%20Love,Odyssey
Las Vegas Tango,Album: ***THE INDIVIDUALISM OF GIL EVANS***      Utgiven:  1988,Kompositör: Gil Evans,https://play.spotify.com/track/1fTrHGt3DzC6Sp0U9ET4Ok,https://www.youtube.com/results?search_query=Gil%20Evans%20Las%20Vegas%20Tango,Gil Evans
Plain Gold Ring,Album: ***MY BABY JUST CARES FOR ME***      Utgiven:  1987,Kompositör: Stone,,https://www.youtube.com/results?search_query=Nina%20Simone%20%26%20Jimmy%20Bond%20%26%20Albert%20Heath%20Plain%20Gold%20Ring,Nina Simone & Jimmy Bond & Albert Heath
Plain Gold Ring,Album: ***FOUR WOMEN***      Utgiven:  2003,Kompositör: Earl Burroughs,,https://www.youtube.com/results?search_query=Nina%20Simone%20%26%20Rudy%20Stevenson%20%26%20Lisle%20Atkinson%20%26%20Bobby%20Hamilton%20Plain%20Gold%20Ring,Nina Simone & Rudy Stevenson & Lisle Atkinson & Bobby Hamilton
Sing Swan Song,Album: ***EGE BAMYASI***      Utgiven:  2004,Kompositör: Holger Czukay & Michael Karoli & Jaki Liebezeit & Irmin Schmidt & Damo Suzuki,https://play.spotify.com/track/6Hqu8oIGogFGXtGtEWMsHb,https://www.youtube.com/results?search_query=Can%20Sing%20Swan%20Song,Can
Tche Belew,Album: ***TCHE BELEW***      Utgiven:  2014,Kompositör: Hailu Mergia,,https://www.youtube.com/results?search_query=Hailu%20Mergia%20%26%20The%20Walias%20Tche%20Belew,Hailu Mergia & The Walias
Safari Strut,Album: ***Earthology***,Kompositör: J Whitfield,,https://www.youtube.com/results?search_query=The%20Whitefield%20Brothers%20Safari%20Strut,The Whitefield Brothers
There's A Light,,Kompositör: Shirley Ann Lee,https://play.spotify.com/track/6wApZx1bRkk7p6G1QwFLU6,https://www.youtube.com/results?search_query=Shirley%20Ann%20Lee%20There's%20A%20Light,Shirley Ann Lee
Praise The Lord,Album: ***BLACK CHRIST OF THE ANDES***      Utgiven:  1966,Kompositör: Mary Lou Williams & Anthony Woods,,https://www.youtube.com/results?search_query=Melba%20Liston%20%26%20Mary%20Lou%20Williams%20%26%20Jimmy%20Mitchell%20%26%20George%20Gordon%20%26%20Budd%20Johnson%20%26%20Grant%20Green%20%26%20Larry%20Gales%20%26%20Percy%20Brice%20Praise%20The%20Lord,Melba Liston & Mary Lou Williams & Jimmy Mitchell & George Gordon & Budd Johnson & Grant Green & Larry Gales & Percy Brice
Lagos Sisi,Album: ***AFRO BABY - THE EVOLUTION OF THE AFRO SOUND IN NIGERIA 1970-79***      Utgi,Kompositör: Bola Johnson,https://play.spotify.com/track/6yM82PxMywRHehdoQgQT8p,https://www.youtube.com/results?search_query=Bola%20Johnson%20Lagos%20Sisi,Bola Johnson
Omelebele,Album: ***LAGOS CHOP UP***      Utgiven:  2005,Kompositör: Victor Olaiya,,https://www.youtube.com/results?search_query=Victor%20Olaiya%20Omelebele,Victor Olaiya
Eti Ufok,Album: ***THE WORLD ENDS - AFRO ROCK & PSYCHEDELIA IN 1970S NIGERIA (1)***      Utgiv,Kompositör: The Ceejebs,,https://www.youtube.com/results?search_query=The%20Ceejebs%20Eti%20Ufok,The Ceejebs
Oooh Baby,Album: ***OOOH BABY***      Utgiven:  2005,Kompositör: Keith Stevenson,https://play.spotify.com/track/5dP8lrOOdWGKcXyHvQ2x87,https://www.youtube.com/results?search_query=Pamoja%20Oooh%20Baby,Pamoja
Somebody's Gonna Lose Or Win,Album: ***THE WORLD ENDS - AFRO ROCK & PSYCHEDELIA IN 1970S NIGERIA (2)***      Utgiv,Kompositör: Goddy Oku,,https://www.youtube.com/results?search_query=The%20Hygrades%20Somebody's%20Gonna%20Lose%20Or%20Win,The Hygrades
Crying Time,Album: ***THE SOUL OF SPANISH HARLEM***      Utgiven:  2008,Kompositör: Ronnie Marks & Monguito Santamaria,,https://www.youtube.com/results?search_query=Monguito%20Santamaria%20Crying%20Time,Monguito Santamaria
You Owe It To Yourself,,Kompositör: Patrick Adams,,https://www.youtube.com/results?search_query=J%20J%20Barnes%20You%20Owe%20It%20To%20Yourself,J J Barnes
Porgy And Bess: Summertime,Album: ***IT'S UPTOWN***      Utgiven:  2001,Kompositör: George Gershwin & Dubose Heyward,https://play.spotify.com/track/7AcpMhRMafWNFAvRRGHIfD,https://www.youtube.com/results?search_query=George%20Benson%20Porgy%20And%20Bess:%20Summertime,George Benson
Porgy And Bess: Summertime,Album: ***OBSERVATIONS IN TIME***      Utgiven:  1996,Kompositör: George Gershwin & Dubose Heyward,https://play.spotify.com/track/6DvYI2kO0T2OAfQ5sRqO8p,https://www.youtube.com/results?search_query=Ohio%20Players%20Porgy%20And%20Bess:%20Summertime,Ohio Players
Call My Name,Album: ***CALL MY NAME***      Utgiven:  2005,Kompositör: Daniel Collas,https://play.spotify.com/track/5aQReUTfm5eKl2pIvkEMF0,https://www.youtube.com/results?search_query=Joe%20Bataan%20Call%20My%20Name,Joe Bataan
