title,album,composer,spotify,youtube,artist
The Third Eye,Album: ***EVERYBODY LOVES THE SUNSHINE***      Utgiven:  1976,Kompositör: Roy Ayers,https://play.spotify.com/track/6NmmNODhIunEGvGvoeyzCw,https://www.youtube.com/results?search_query=Roy%20Ayers%20The%20Third%20Eye,Roy Ayers
Think Twice,Album: ***THE BEST OF DONALD BYRD***      Utgiven:  1992,Kompositör: Mbaji & Larry Mizell & Sigidi,https://play.spotify.com/track/1vq6x0VSLtVUHMbNKHh9sF,https://www.youtube.com/results?search_query=Donald%20Byrd%20Think%20Twice,Donald Byrd
Tupac Amaru,Album: ***FENIX***      Utgiven:  1996,Kompositör: Gato Barbieri,,https://www.youtube.com/results?search_query=Gato%20Barbieri%20%26%20Lonnie%20Liston%20Smith%20%26%20Joe%20Beck%20%26%20Ron%20Carter%20%26%20Lenny%20White%20%26%20Gene%20Golden%20%26%20Nana%20Vasconcelos%20Tupac%20Amaru,Gato Barbieri & Lonnie Liston Smith & Joe Beck & Ron Carter & Lenny White & Gene Golden & Nana Vasconcelos
Inner City Blues,Album: ***REFLECTIONS***      Utgiven:  1981,Kompositör: Marvin Gaye & James Nyx & Gil Scott-Heron,,https://www.youtube.com/results?search_query=Gil%20Scott-Heron%20%26%20Claptomaniacs%20Inner%20City%20Blues,Gil Scott-Heron & Claptomaniacs
"The World Needs Changin', The World Needs Changing",Album: ***THE WORLD NEEDS CHANGING - STREET FUNK & JAZZ GROOVES 1967 - 1976***      U,Kompositör: S Blount & Leon Hayward & Hank Jacobs & J White,,"https://www.youtube.com/results?search_query=Hank%20Jacobs%20%26%20Don%20Malone%20The%20World%20Needs%20Changin',%20The%20World%20Needs%20Changing",Hank Jacobs & Don Malone
You Don't Have To Worry,,Kompositör: Okänd,,https://www.youtube.com/results?search_query=Doris%20%26%20Kelly%20You%20Don't%20Have%20To%20Worry,Doris & Kelly
You Don't Have To Worry (Guts Remix),,Kompositör: Okänd,,https://www.youtube.com/results?search_query=Doris%20%26%20Kelly%20%26%20Guts%20You%20Don't%20Have%20To%20Worry%20(Guts%20Remix),Doris & Kelly & Guts
Stop,Album: ***DONUTS***      Utgiven:  2006,Kompositör: James Yancey,,https://www.youtube.com/results?search_query=Jay%20Dee%20Stop,Jay Dee
You're Gonna Need Me,Album: ***YOU'RE GONNA NEED ME***      Utgiven:  1973,Kompositör: Lamont Dozier & Brian Holland & Eddie Holland & Richard Wylie,https://play.spotify.com/track/5ezYm2LkW25YhkkTp7bC9u,https://www.youtube.com/results?search_query=Dionne%20Warwick%20You're%20Gonna%20Need%20Me,Dionne Warwick
Dedicated To The One I Love,Album: ***DEDICATED TO THE ONE I LOVE***      Utgiven:  1994,Kompositör: Ralph Bass & Lowman Pauling,https://play.spotify.com/track/74TlZ7hlvD0QRxOhMv33lo,https://www.youtube.com/results?search_query=The%20Temprees%20Dedicated%20To%20The%20One%20I%20Love,The Temprees
