title,album,composer,spotify,youtube,artist
I Want To Come Home For Christmas,Album: Christmas In The City,"Kompositör: Marvin Gaye, Forrest Hairston",https://play.spotify.com/track/7ckMqAJfRuGuRbYLiFT2LY,https://www.youtube.com/results?search_query=Marvin%20Gaye%20I%20Want%20To%20Come%20Home%20For%20Christmas,Marvin Gaye
White Christmas,Album: Destiny: Rare Ska Sides From Studio One,Kompositör: Irving Berlin,,"https://www.youtube.com/results?search_query=Bob%20Marley,%20The%20Wailers%20(Jamaica)%20White%20Christmas","Bob Marley, The Wailers (Jamaica)"
My Conversation,Album: Tougher Than Tough,Kompositör: Slim Smith,https://play.spotify.com/track/3opp8Vb6TBj3FCyA3tb3hs,"https://www.youtube.com/results?search_query=Slim%20Smith,%20The%20Uniques%20My%20Conversation","Slim Smith, The Uniques"
Queen Majesty,Album: Duke Reid's Treasure Chest,Kompositör: Okänd,,https://www.youtube.com/results?search_query=The%20Techniques%20(Jamaica)%20Queen%20Majesty,The Techniques (Jamaica)
Memories (12 Inch Version),Album: Memories,Kompositör: Perry Murvin,,https://www.youtube.com/results?search_query=Junior%20Murvin%20Memories%20(12%20Inch%20Version),Junior Murvin
What The World Needs Now Is Love,Album: Come And Get Me - The Complete Liberty And Imperial Singles (2),Kompositör: Burt Bacharach,https://play.spotify.com/track/5td7WsBur5opModo1lB1X3,https://www.youtube.com/results?search_query=Jackie%20Deshannon%20What%20The%20World%20Needs%20Now%20Is%20Love,Jackie Deshannon
Greensleeves,Album: The Other Village Vanguard Tapes,Kompositör: Trad,,"https://www.youtube.com/results?search_query=John%20Coltrane,%20Mccoy%20Tyner,%20Reggie%20Workman,%20Elvin%20Jones%20Greensleeves","John Coltrane, Mccoy Tyner, Reggie Workman, Elvin Jones"
What Can You Bring Me,Album: What Can You Bring Me,Kompositör: James Gadson,,https://www.youtube.com/results?search_query=Charles%20Wright%20What%20Can%20You%20Bring%20Me,Charles Wright
Rock Rock Y' All,Album: The Love Movement,"Kompositör: Kamaal Fareed, V Johnson, L Morris, Ali Shaheed Muhammad, D Smith, Malik Taylor, R Truell",,"https://www.youtube.com/results?search_query=A%20Tribe%20Called%20Quest,%20Punchline,%20Wordsworth,%20Jane%20Doe,%20Mos%20Def%20Rock%20Rock%20Y'%20All","A Tribe Called Quest, Punchline, Wordsworth, Jane Doe, Mos Def"
The Space Program,,Kompositör: Kamaal Fareed,https://play.spotify.com/track/203xmWRHAyqwW6AkGkhhVM,https://www.youtube.com/results?search_query=A%20Tribe%20Called%20Quest%20The%20Space%20Program,A Tribe Called Quest
Christmas,Album: The Phil Spector Christmas Album,"Kompositör: Jeff Barry, Ellie Greenwich, Phil Spector",https://play.spotify.com/track/46pF1zFimM582ss1PrMy68,https://www.youtube.com/results?search_query=Darlene%20Love%20Christmas,Darlene Love
What Christmas Means To Me,Album: 20 Christmas Classics,"Kompositör: Anna Gaye, George Gordy, Allen Story",https://play.spotify.com/track/2qoZNAP3JLyIOtbsPtBjvV,https://www.youtube.com/results?search_query=Stevie%20Wonder%20What%20Christmas%20Means%20To%20Me,Stevie Wonder
Time The Donut Of The Heart,Album: Donuts,Kompositör: James Yancey,https://play.spotify.com/track/13M5MzGon20Tlur0CU2OYI,https://www.youtube.com/results?search_query=Jay%20Dee%20Time%20The%20Donut%20Of%20The%20Heart,Jay Dee
Two Time Loser,,Kompositör: Alden Bunn,https://play.spotify.com/track/49LhqY0jGjJENTi44gRqYC,"https://www.youtube.com/results?search_query=Little%20Ann,%20Tarheel%20Slim%20Two%20Time%20Loser","Little Ann, Tarheel Slim"
I Love You,,"Kompositör: Eddie Holman, Marks",,https://www.youtube.com/results?search_query=Eddie%20Holman%20I%20Love%20You,Eddie Holman
Las Vegas Tango,Album: The Individualism Of Gil Evans,Kompositör: Gil Evans,https://play.spotify.com/track/1fTrHGt3DzC6Sp0U9ET4Ok,https://www.youtube.com/results?search_query=Gil%20Evans%20Las%20Vegas%20Tango,Gil Evans
Nightbird,,Kompositör: Okänd,https://play.spotify.com/track/3Cibi7EZuoKWftzIc5NCz5,https://www.youtube.com/results?search_query=The%20Fabulous%20Three%20Nightbird,The Fabulous Three
