title,album,composer,spotify,youtube,artist
Tupac Amaru,Album: ***FENIX***      Utgiven:  1996,Kompositör: Gato Barbieri,,https://www.youtube.com/results?search_query=Gato%20Barbieri%20%26%20Lonnie%20Liston%20Smith%20%26%20Joe%20Beck%20%26%20Ron%20Carter%20%26%20Lenny%20White%20%26%20Gene%20Golden%20%26%20Nana%20Vasconcelos%20Tupac%20Amaru,Gato Barbieri & Lonnie Liston Smith & Joe Beck & Ron Carter & Lenny White & Gene Golden & Nana Vasconcelos
Expansions,Album: ***WATERCOLORS***      Utgiven:  1991,Kompositör: Lonnie Liston Smith,https://play.spotify.com/track/5W080sGnxUROqtv6tL5m07,https://www.youtube.com/watch?v=T5R3_SbE7XQ,Lonnie Liston Smith & Donald Smith
The Memory,Album: ***UBIQUITY VIBRATIONS***      Utgiven:  2008,Kompositör: William Allen & Roy Ayers & Edwin Birdsong,https://play.spotify.com/track/4IWqC9tZ2u9r8u9FiaxKm5,https://www.youtube.com/results?search_query=Roy%20Ayers%20The%20Memory,Roy Ayers
Aboagyewaa,Album: ***GHANA SOUNDZ AFRO BEAT FUNK AND FUSION IN 70S GHANA (2)***      Utgiven:  2,Kompositör: K Frimpong,https://play.spotify.com/track/02MZRXK6MVkgNzW0Uh0oYb,https://www.youtube.com/results?search_query=K%20Frimpong%20%26%20Vis%20A%20Vis%20Aboagyewaa,K Frimpong & Vis A Vis
Muziqawi Silt,Album: ***ÉTHIOPIQUES (13) THE GOLDEN SEVENTIES***      Utgiven:  2003,Kompositör: Girma Beyene,https://play.spotify.com/track/1q8YWFy1YpQJrtsA79QwVV,https://www.youtube.com/watch?v=r-mEvdTo0G4,Wallias Band
Sinnerman,Album: The Essential Nina Simone,Kompositör: Trad Från Usa,https://play.spotify.com/track/2HDwGSgOBJD9lE3BF5JEec,https://www.youtube.com/watch?v=QH3Fx41Jpl4,Nina Simone
"Nobody Knows, Nobody Knows The Trouble I've Seen",Album: ***LIKE A SHIP (WITHOUT A SAIL)***      Utgiven:  2010,Kompositör: Trad Från Usa & T L Barrett,https://play.spotify.com/track/6FJFNxCvoAAUaoJzJUb5P2,"https://www.youtube.com/results?search_query=T%20L%20Barrett%20%26%20The%20Youth%20For%20Christ%20Choir%20Nobody%20Knows,%20Nobody%20Knows%20The%20Trouble%20I've%20Seen",T L Barrett & The Youth For Christ Choir
You've Made Me So Very Happy,Album: ***YOU'VE MADE ME SO VERY HAPPY***      Utgiven:  2000,Kompositör: Berry (2) Gordy & Brenda Holloway & Patrice Holloway & Frank Wilson,https://play.spotify.com/track/7a0chd4RiLpp5FI159ON8T,https://www.youtube.com/results?search_query=Lou%20Rawls%20You've%20Made%20Me%20So%20Very%20Happy,Lou Rawls
I Am I Be,Album: ***BUHLOONE MINDSTATE***      Utgiven:  1994,Kompositör: P Houston & D Jolicouer & V Mason & K Mercer,,https://www.youtube.com/watch?v=Svw1b--jKCE,De La Soul
Holy Thursday,Album: ***SAMPLED (4)***      Utgiven:  2003,Kompositör: David Axelrod,https://play.spotify.com/track/0VF21fEzB6OszZcJlKzyg5,https://www.youtube.com/results?search_query=David%20Axelrod%20Holy%20Thursday,David Axelrod
A Divine Image,Album: Songs Of Experience,,https://play.spotify.com/track/7fo09al5RUkz86eIZfgYlR,https://www.youtube.com/watch?v=WHOPqwZ0q4I,David Axelrod
The Divine Image,Album: ***DAVID AXELROD: ANTHOLOGY (2)***      Utgiven:  2002,Kompositör: David Axelrod,,https://www.youtube.com/results?search_query=David%20Axelrod%20The%20Divine%20Image,David Axelrod
Berimbao,Album: ***The Vibe Vol 3  Samba Funk MPG and Other Illicit Brazilian Grooves***,Kompositör: Baden Powell & Vinicius De Moraes,https://play.spotify.com/track/1sbYq17wAzQAlaFf5PnTZX,https://www.youtube.com/watch?v=uR6o3qkSbYk,Jayme Marques
The More I Get The More I Want,Album: ***TEDDY PENDERGRASS - LIFE IS A SONG WORTH SINGING***      Utgiven:  1999,Kompositör: Victor Leon Carstarphen & Gene Mcfadden & John Whitehead,https://play.spotify.com/track/2nsx3QznZwMFBPdE4PJiJJ,https://www.youtube.com/results?search_query=Teddy%20Pendergrass%20The%20More%20I%20Get%20The%20More%20I%20Want,Teddy Pendergrass
Look Up,Album: ***HAVEN'T YOU HEARD***      Utgiven:  1996,Kompositör: Charles (2) Mims & Patrice Rushen & Sheree Brown,https://play.spotify.com/track/3GeIiiqeHH9VghZeHLlmUa,https://www.youtube.com/results?search_query=Patrice%20Rushen%20Look%20Up,Patrice Rushen
Taste Of Bitter Love,Album: ***ABOUT LOVE***      Utgiven:  1980,Kompositör: Nickolas Ashford & Valerie Simpson,https://play.spotify.com/track/3jqq52YvTN2Dnv106z2lIX,https://www.youtube.com/watch?v=zv6Ycb7gBJ4,Gladys Knight & The Pips
Love Has Come Around,Album: ***CLASSIC JAZZ-FUNK MASTERCUTS (3)***      Utgiven:  1992,Kompositör: William Duckett,https://play.spotify.com/track/1iPbcdvxT4WVG0Irt98uL3,https://www.youtube.com/results?search_query=Donald%20Byrd%20Love%20Has%20Come%20Around,Donald Byrd
