title,album,composer,spotify,youtube,artist
Whats Your World,,Kompositör: Leon Ware,https://play.spotify.com/track/5n1QRFeCeoGRldmExaltCk,https://www.youtube.com/results?search_query=Gloria%20Taylor%20Whats%20Your%20World,Gloria Taylor
How Great Thou Art,,Kompositör: Trad Från Sverige & Stuart K Hine,https://play.spotify.com/track/2d7nk4YAvC5i78LKHuVQBV,https://www.youtube.com/results?search_query=Sensational%20Saints%20How%20Great%20Thou%20Art,Sensational Saints
Rough Rider,Album: ***THE WORLD ENDS - AFRO ROCK & PSYCHEDELIA IN 1970S NIGERIA (1)***      Utgiv,Kompositör: Goddy Oku,https://play.spotify.com/track/08LwN4NnSGYzDWcdKtV92V,https://www.youtube.com/results?search_query=The%20Hygrades%20Rough%20Rider,The Hygrades
Ain't Nobody Gonna Treat Us (Like They Used To Do),"Album: ***The Zulu 45s Collection,2010***",Kompositör: Spencer,https://play.spotify.com/track/5uWTbNK63i3fIaDNh7zRRu,https://www.youtube.com/results?search_query=Philip%20Cohran%20%26%20The%20Artistic%20Heritage%20Ensemble%20Ain't%20Nobody%20Gonna%20Treat%20Us%20(Like%20They%20Used%20To%20Do),Philip Cohran & The Artistic Heritage Ensemble
Yes God Is Real,"Album: ***Tapes, 2012***",Kompositör: Major Haines,https://play.spotify.com/track/2jsEIWPxzLMvmHKZZivex8,https://www.youtube.com/results?search_query=Gospel%20Comforters%20Yes%20God%20Is%20Real,Gospel Comforters
Stop Today,"Album: ***Itll All Be Over, 2015***",Kompositör: Dave Kingsby,https://play.spotify.com/track/6KB9MX28fvI5DN1TRQCNuN,https://www.youtube.com/results?search_query=Supreme%20Jubilees%20Stop%20Today,Supreme Jubilees
As Long As I Have You,Album: ***WHAT'S HAPPENING...***      Utgiven:  2002,Kompositör: Bob Elgin & Jerry Ragovoy,https://play.spotify.com/track/4DRb1U1KCTCTKYdT557S2S,https://www.youtube.com/results?search_query=Garnet%20Mimms%20As%20Long%20As%20I%20Have%20You,Garnet Mimms
Just Can't Live My Life,Album: ***AFTER HOURS - THE COLLECTION - NORTERN SOUL MASTERS (2)***      Utgiven:  2,Kompositör: Kerr,https://play.spotify.com/track/7BFMG2WMydVaj7jxl6sK3e,https://www.youtube.com/results?search_query=Linda%20Jones%20Just%20Can't%20Live%20My%20Life,Linda Jones
You Keep Me Hangin On,Album: Best Of Diana Ross & The Supremes (1),Kompositör: Lamont Dozier/Eddie Holland/Brian Holland,https://play.spotify.com/track/2S0A49bWVQfPEourO4CDe1,https://www.youtube.com/results?search_query=Diana%20Ross%20%26%20The%20Supremes%20You%20Keep%20Me%20Hangin%20On,Diana Ross & The Supremes
It's A Desperate Situation,Album: ***LOVE STARVED HEART***      Utgiven:  1994,Kompositör: Ivory Joe Hunter & Pam Sawyer,https://play.spotify.com/track/5WCABO5zNwp0knUzOlVZ9W,https://www.youtube.com/results?search_query=Marvin%20Gaye%20It's%20A%20Desperate%20Situation,Marvin Gaye
"My Woman's Good To Me, My Woman Is Good To Me",Album: ***TELL IT LIKE IT IS***      Utgiven:  1994,Kompositör: Billy Sherrill & Glenn Sutton,https://play.spotify.com/track/0DTqdBdmke6Kb2rcJEzEMT,"https://www.youtube.com/results?search_query=George%20Benson%20My%20Woman's%20Good%20To%20Me,%20My%20Woman%20Is%20Good%20To%20Me",George Benson
A Love That's Worth Having,,Kompositör: Willie Hutchinson,https://play.spotify.com/track/23SIdfiSYhb3LnuLf7HULE,https://www.youtube.com/results?search_query=Willie%20Hutch%20A%20Love%20That's%20Worth%20Having,Willie Hutch
