title,album,composer,spotify,youtube,artist
All Your Goodies Are Gone,,Kompositör: George Clinton | Clarence Haskins | William Nelson,https://play.spotify.com/track/2nZCd1ZoIwlHb5r0EUw3yk,https://www.youtube.com/results?search_query=Parliament%20All%20Your%20Goodies%20Are%20Gone,Parliament
Ain't Got The Love (Of One Girl Of My Mind),Album: ***AIN'T GOT THE LOVE (OF ONE GIRL OF MY MIND)***      Utgiven:  1969,Kompositör: Barbara Mason,,https://www.youtube.com/results?search_query=The%20Ambassadors%20Ain't%20Got%20The%20Love%20(Of%20One%20Girl%20Of%20My%20Mind),The Ambassadors
Work To Do,Album: ***RARE GROOVE (THE MASTERS SERIES)***      Utgiven:  2009,Kompositör: O'kelly Isley & Ronald Isley & Rudolph Isley,https://play.spotify.com/track/1LBobEllqorh7JLPAWazsa,https://www.youtube.com/results?search_query=Main%20Ingredient%20Work%20To%20Do,Main Ingredient
Just Can't Live My Life,Album: ***AFTER HOURS - THE COLLECTION - NORTERN SOUL MASTERS (2)***      Utgiven:  2,Kompositör: Kerr,https://play.spotify.com/track/7BFMG2WMydVaj7jxl6sK3e,https://www.youtube.com/results?search_query=Linda%20Jones%20Just%20Can't%20Live%20My%20Life,Linda Jones
You Keep Me Hangin On,Album: Best Of Diana Ross & The Supremes (1),,https://play.spotify.com/track/2S0A49bWVQfPEourO4CDe1,https://www.youtube.com/results?search_query=Diana%20Ross%20%26%20The%20Supremes%20You%20Keep%20Me%20Hangin%20On,Diana Ross & The Supremes
Send Him Back,Album: ***AFTER HOURS - THE COLLECTION - NORTERN SOUL MASTERS (3)***      Utgiven:  2,Kompositör: Joe Broussard & Richard Caiton & Maria Tynes,https://play.spotify.com/track/7LEupq2aTjjGI2vXBV4K2N,https://www.youtube.com/results?search_query=Pointer%20Sisters%20Send%20Him%20Back,Pointer Sisters
People Make The World Go Round,Album: ***GOT TO BE THERE***      Utgiven:  1986,Kompositör: Thom Bell & Linda Creed,,https://www.youtube.com/results?search_query=Michael%20Jackson%20People%20Make%20The%20World%20Go%20Round,Michael Jackson
Move Over,Album: ***SOUL CHILDREN - GENESIS***      Utgiven:  1990,Kompositör: Isaac Hayes & David Porter,,https://www.youtube.com/results?search_query=Soul%20Children%20Move%20Over,Soul Children
Gone The Promises Of Yesterday,Album: ***THE COMPLETE STAX / VOLT SOUL SINGLES 1968-1971 (9)***      Utgiven:  1993,Kompositör: Kent Arnold & Dale Warren,,https://www.youtube.com/results?search_query=The%20Mad%20Lads%20Gone%20The%20Promises%20Of%20Yesterday,The Mad Lads
We're Almost There,Album: ***FOREVER MICHAEL***      Utgiven:  1994,Kompositör: Brian Holland & Eddie Holland,https://play.spotify.com/track/271PfBUXOXoQCcBgvxTqSF,https://www.youtube.com/results?search_query=Michael%20Jackson%20We're%20Almost%20There,Michael Jackson
Remind Me,Album: ***HAVEN'T YOU HEARD***      Utgiven:  1996,Kompositör: Patrice Rushen & Karen Evans,https://play.spotify.com/track/5sKcSV3XQ5PEkCyyFYFOr0,https://www.youtube.com/results?search_query=Patrice%20Rushen%20Remind%20Me,Patrice Rushen
Heartbeat,Album: ***SAMPLED (3)***      Utgiven:  2002,Kompositör: Kenton Nix,https://play.spotify.com/track/7D0tsyPtjyygQEH8p7Qbic,https://www.youtube.com/results?search_query=Taana%20Gardner%20Heartbeat,Taana Gardner
Buddy,Album: ***DE LA REMIX***      Utgiven:  1992,Kompositör: De La Soul,,https://www.youtube.com/results?search_query=De%20La%20Soul%20%26%20Jungle%20Brothers%20%26%20Q-Tip%20%26%20Queen%20Latifah%20%26%20Love%20Monie%20Buddy,De La Soul & Jungle Brothers & Q-Tip & Queen Latifah & Love Monie
The Humpty Dance,Album: ***SEX PACKETS***      Utgiven:  1989,Kompositör: Edward Humphrey & Greg Jacobs,https://play.spotify.com/track/5IOIyLzUrR8qnXhe3LdYYX,https://www.youtube.com/results?search_query=Digital%20Underground%20The%20Humpty%20Dance,Digital Underground
Flashlight,Album: ***CAN'T HARDLY WAIT***      Utgiven:  1998,Kompositör: William Bootsy Collins & George Clinton & Bernie Worrell,,https://www.youtube.com/results?search_query=Parliament%20Flashlight,Parliament
Reach For It,Album: ***REACH FOR IT***      Utgiven:  2010,Kompositör: George Duke,https://play.spotify.com/track/4JROdmPQS33WVR8kwKp2Lc,https://www.youtube.com/results?search_query=George%20Duke%20Reach%20For%20It,George Duke
Mothership Connection (Star Child),Album: ***MOTHERSHIP CONNECTION***      Utgiven:  1976,Kompositör: William Bootsy Collins & George Clinton & Bernie Worrell,https://play.spotify.com/track/2V8Ox2tsQLRxOgW13Y0MBb,https://www.youtube.com/results?search_query=Parliament%20Mothership%20Connection%20(Star%20Child),Parliament
Funky Worm,Album: ***SAMPLED (3)***      Utgiven:  2002,Kompositör: Ohio Players,,https://www.youtube.com/results?search_query=Ohio%20Players%20Funky%20Worm,Ohio Players
Cutie Pie,Album: ***CUTIE PIE***      Utgiven:  2007,Kompositör: T Dudley & Gregory Green & Al Hudson & Glenda Hudson & Jonathan Meadows & T Morgan & Dave Roberson,,https://www.youtube.com/results?search_query=One%20Way%20(Usa)%20Cutie%20Pie,One Way (Usa)
"Pumpin' It Up, Pumping It Up",,Kompositör: Ron Ford & Garry Shider,,"https://www.youtube.com/results?search_query=P-Funk%20All-Stars%20Pumpin'%20It%20Up,%20Pumping%20It%20Up",P-Funk All-Stars
Funkin' Lesson,Album: ***TO THE EAST BLACKWARDS***      Utgiven:  1990,Kompositör: Jason Hunter,,https://www.youtube.com/results?search_query=X-Clan%20Funkin'%20Lesson,X-Clan
"Knee Deep, Not Just Knee Deep",Album: ***UNCLE JAM WANTS YOU***      Utgiven:  1993,Kompositör: George Clinton,,"https://www.youtube.com/results?search_query=Funkadelic%20Knee%20Deep,%20Not%20Just%20Knee%20Deep",Funkadelic
Me Myself And I,Album: 3 Feet High And Rising,Kompositör: MERCER/MASON/Huston/Jolicoeur,https://play.spotify.com/track/3SdOP61TT2l8YQpSaUtsWR,https://www.youtube.com/results?search_query=De%20La%20Soul%20Me%20Myself%20And%20I,De La Soul
Aqua Boogie,Album: ***PARLIAMENT'S GREATEST HITS***      Utgiven:  1984,Kompositör: George Clinton & William Bootsy Collins & Bernie Worrell,,https://www.youtube.com/results?search_query=Parliament%20Aqua%20Boogie,Parliament
G Funk Intro,Album: ***DOGGYSTYLE***      Utgiven:  1993,Kompositör: Okänd,,https://www.youtube.com/results?search_query=Snoop%20Doggy%20Dogg%20G%20Funk%20Intro,Snoop Doggy Dogg
Wesley's Theory,,Kompositör: Kendrick Duckworth & Steven Ellison,,https://www.youtube.com/results?search_query=Kendrick%20Lamar%20Wesley's%20Theory,Kendrick Lamar
Westcoast Poplock,Album: ***WESTCOAST POPLOCK***      Utgiven:  1989,Kompositör: Okänd,,https://www.youtube.com/results?search_query=Ronnie%20Hudson%20Westcoast%20Poplock,Ronnie Hudson
"Dance Floor, Dancefloor",Album: ***DANCE FLOOR***      Utgiven:  1982,Kompositör: Larry Troutman & Roger Troutman,,"https://www.youtube.com/results?search_query=Zapp%20Dance%20Floor,%20Dancefloor",Zapp
Crossover,Album: ***CROSSOVER***      Utgiven:  1992,Kompositör: Erick Sermon & Parrish Smith,,https://www.youtube.com/results?search_query=Epmd%20Crossover,Epmd
Same Song,"Album: ***TUPAC: RESURRECTION***      Utgiven:  2003, ***THIS IS MY STORY***      Utg",Kompositör: Ron Brooks & Greg Jacobs & Tupac Shakur,,https://www.youtube.com/results?search_query=Digital%20Underground%20Same%20Song,Digital Underground
