title,album,composer,spotify,youtube,artist
Water Me,Album: WATER ME 2014      Utgiven:  2014,Kompositör: Okänd,https://play.spotify.com/track/6vuIHcihoU6oPvV585zoJY,https://www.youtube.com/watch?v=eGvM6uLS6Xg,Theophilus London & Leon Ware
Yes Lord,Album: FREEDOM RHYTHM & SOUND - REVOLUTIONARY JAZZ & THE CIVIL RIGHTS MOVEMENT 1963-82,Kompositör: Okänd,https://play.spotify.com/track/4IWdP2iXb2WkywzzkCQuB0,https://www.youtube.com/results?search_query=The%20Hastings%20Street%20Jazz%20Experience%20Yes%20Lord,The Hastings Street Jazz Experience
There's A Light,Album: Songs of Light,Kompositör: Shirley Ann Lee,https://play.spotify.com/track/6wApZx1bRkk7p6G1QwFLU6,https://www.youtube.com/results?search_query=Shirley%20Ann%20Lee%20There's%20A%20Light,Shirley Ann Lee
Don't Joke With A Hungry Man,Album: THE BEST OF QUANTIC      Utgiven:  2011,Kompositör: William Holland & Corey Mwamba & Mike Simmonds & Spanky Wilson,https://play.spotify.com/track/53rtFb6bTf5edYjpEOXvkk,https://www.youtube.com/results?search_query=Spanky%20Wilson%20%26%20Quantic%20Don't%20Joke%20With%20A%20Hungry%20Man,Spanky Wilson & Quantic
Just Kissed My Baby,Album: REJUVENATION      Utgiven:  2001,Kompositör: Joseph Modeliste & Art Neville & Leo Nocentelli & George (2) Porter,https://play.spotify.com/track/1TB0dZqFRQsnf4fLLLRKQV,https://www.youtube.com/results?search_query=The%20Meters%20Just%20Kissed%20My%20Baby,The Meters
Hang Out And Hustle,Album: ***FOOD FOR FUNK***      Utgiven:  1992,Kompositör: James (1) Brown & Charles Sherrell,https://play.spotify.com/track/0sJrUeeYZUSxjG55hFH6zY,https://www.youtube.com/watch?v=b6kHC8m61Ns,Sweet Charles
No Jive,"Album: Spiritual Jazz, 2009",Kompositör: Frank Derrick,https://play.spotify.com/track/0FQB80VZocBKwXvcPQi71J,https://www.youtube.com/results?search_query=The%20Frank%20Derrick%20Total%20Experience%20No%20Jive,The Frank Derrick Total Experience
Body Heat,Album: THE BEST OF QUINCY JONES (1)      Utgiven:  1982,Kompositör: Bruce Fisher & Quincy Jones & Stan Richardson & Leon Ware,https://play.spotify.com/track/4s7qwh3ETscwgFAUzwst3o,https://www.youtube.com/results?search_query=Quincy%20Jones%20%26%20Leon%20Ware%20Body%20Heat,Quincy Jones & Leon Ware
I Want You,Album: I WANT YOU      Utgiven:  1992,Kompositör: T-Boy Ross & Leon Ware,https://play.spotify.com/track/6uKH634hc6IRxeFL4MogXC,https://www.youtube.com/watch?v=gjRLbzxz_3Y,Marvin Gaye
Inside My Love,Album: WHAT'S HAPPENING...      Utgiven:  2002,Kompositör: Minnie Riperton & Richard Rudolph & Leon Ware,https://play.spotify.com/track/1HdNTlZrGTlgxDn31GB6Sv,https://www.youtube.com/results?search_query=Minnie%20Riperton%20Inside%20My%20Love,Minnie Riperton
Lyrics To Go,Album: MIDNIGHT MARAUDERS      Utgiven:  1995,Kompositör: J Davis & W Mitchell & A Muhammad & M Taylor,https://play.spotify.com/track/6YRZngBVAy2FgUQWk3lwL1,https://www.youtube.com/watch?v=YiAHpxg3Isg,A Tribe Called Quest
Bada Que Bash,"Album: Winter Winds  The Complete Works 1968 70, 2010",Kompositör: Phil Hewitt,https://play.spotify.com/track/6d3IU6DU4oynUemZOsupyu,https://www.youtube.com/watch?v=MbAH3sLz0eU,P.E. Hewitt Jazz Ensemble
Funky Drummer,Album: IN THE JUNGLE GROOVE      Utgiven:  1986,Kompositör: James (1) Brown,https://play.spotify.com/track/4axEnoOMoYkEMuGn0nNSPR,https://www.youtube.com/watch?v=AoQ4AtsFWVM,James (1) Brown
Lihue,Album: Around Again,Kompositör: Okänd,https://play.spotify.com/track/4UeSleTsjljEIdEGRdVggm,https://www.youtube.com/watch?v=SgcCev5F1hA,Nohelani Cypriano
I Dont Need Anybody Else,"Album: ***Wide Receiver, 1980***",Kompositör: Lou Courtney,https://play.spotify.com/track/61g0Y0XNlhuYe1ZQ8Fs1Qc,https://www.youtube.com/results?search_query=Michael%20Henderson%20I%20Dont%20Need%20Anybody%20Else,Michael Henderson
If You Let Me Love You,"Album: Classics Funky Music, Vol. 1",Kompositör: Ralph Benatar & B Fisher & Galen Senogles & Billy Preston,https://play.spotify.com/track/3C6DgWE9XNLf9GeUYmQPLU,https://www.youtube.com/results?search_query=Billy%20Preston%20If%20You%20Let%20Me%20Love%20You,Billy Preston
Secret Rendezvous,Album: A FUSION SOUL CLASSICS COLLECTION      Utgiven:  2000,Kompositör: René Moore & Angela Winbush,https://play.spotify.com/track/0GxEziaILXCAwBa23IDlFS,https://www.youtube.com/results?search_query=Ren%c3%a9%20%26%20Angela%20Secret%20Rendezvous,René & Angela
It Seems To Hang On,Album: ASHFORD AND SIMPSON -THE WARNER BROS YEARS      Utgiven:  2008,Kompositör: Nickolas Ashford & Valerie Simpson,https://play.spotify.com/track/1j6Zoilc4AQFqcC7JPPUvO,https://www.youtube.com/watch?v=21bditzxgpY,Nickolas Ashford & Valerie Simpson
"Don't Give Me Up (John Morales Mix), Don't Give Me Up",Album: DON'T GIVE ME UP (JOHN MORALES MIX)      Utgiven:  2011,Kompositör: Michael Forte & Mckinley Horton & Harold Melvin,,"https://www.youtube.com/results?search_query=Harold%20Melvin%20Don't%20Give%20Me%20Up%20(John%20Morales%20Mix),%20Don't%20Give%20Me%20Up",Harold Melvin
"If You Want My Lovin', If You Want My Loving",Album: IF YOU WANT MY LOVIN'      Utgiven:  1981,Kompositör: Lawrence Jones & Morrie Brown,https://play.spotify.com/track/2se8SpivbSWIksIPwSDqcW,"https://www.youtube.com/results?search_query=Evelyn%20King%20If%20You%20Want%20My%20Lovin',%20If%20You%20Want%20My%20Loving",Evelyn King
Mind Up Tonight,Album: THIS IS IT - THE BEST OF MELBA MOORE      Utgiven:  1995,Kompositör: Lillo Thomas,https://play.spotify.com/track/3HXlUK6ZbcqSHvY4iDBJuT,https://www.youtube.com/watch?v=0PMlisJ9hPM,Melba Moore
Keep Giving Me Love,Album: KEEP GIVING ME LOVE      Utgiven:  1983,Kompositör: Hubert (3) Eaves & James Williams,https://play.spotify.com/track/1CNGRhWQ1rfcesrcKZwkIE,https://www.youtube.com/watch?v=QP5TXPZ2UlM,D Train
Why I Came To California,Album: CLASSIC RARE GROOVE MASTERS (1)      Utgiven:  1993,Kompositör: Janice Siegel & Leon Ware,https://play.spotify.com/track/6jZXAOHmvseRsqxYCbexTJ,https://www.youtube.com/results?search_query=Leon%20Ware%20%26%20Janice%20Siegel%20Why%20I%20Came%20To%20California,Leon Ware & Janice Siegel
I Wanna Be Where You Are,Album: GOT TO BE THERE      Utgiven:  1986,Kompositör: T-Boy Ross & Leon Ware,https://play.spotify.com/track/1iKdB72ocLQJ975PQtscKf,https://www.youtube.com/watch?v=MFL_gYXE6Rk,Michael Jackson
If I Ever Lose This Heaven,Album: BODY HEAT      Utgiven:  1988,Kompositör: Pam Sawyer & Leon Ware,https://play.spotify.com/track/2ywT8Tby8Y1Mfd4iMfsF1o,https://www.youtube.com/watch?v=KOpD4gzjTbg,Quincy Jones
"Foolin', Fooling",Album: ART OFFICIAL INTELLIGENCE MOSAIC THUMP      Utgiven:  2000,Kompositör: David Jolicoeur & Vincent Mason & Kelvin Mercer & D West,,"https://www.youtube.com/results?search_query=De%20La%20Soul%20Foolin',%20Fooling",De La Soul
Do Your Thing,Album: James Brown's Funky People Part 2,,https://play.spotify.com/track/3yZ81a6oxstLaDuJKR2U6p,https://www.youtube.com/results?search_query=Lyn%20Collins%20Do%20Your%20Thing,Lyn Collins
Who's That Lady,Album: Something's Got A Hold On Me,,https://play.spotify.com/track/4KEjzkZRlb0HHqNTsj7AoM,https://www.youtube.com/watch?v=EUH2JbwSlgw,The Isley Brothers
Four Walls,Album: I Love You,,https://play.spotify.com/track/4V4gWBXekAjyqkg3ZuFW8r,https://www.youtube.com/watch?v=Qd3CfIxUZmQ,Eddie Holman
True Love Don't Grow on Trees,Album: Eccentric Soul: The Outskirts Of Deep City,,https://play.spotify.com/track/0Cyb6x89K1OKuWGDuA7Ytq,https://www.youtube.com/watch?v=58NNz8kaC_o,Helene Smith
Hard Times,Album: What It Is! Funky Soul And Rare Grooves [1967-1977][digital version] [International],,,https://www.youtube.com/watch?v=eN0wTQjg98E,Baby Huey & The Baby Sitters
Is It Because I'm Black,Album: Is It Because I'm Black,,https://play.spotify.com/track/2tqd5MGF8wXhpHoOKXoF3A,https://www.youtube.com/watch?v=jArMH17mFZY,Syl Johnson
Border,Album: Loving Pauper,,https://play.spotify.com/track/0prPf045Rqi2o9L6RJmWm0,https://www.youtube.com/watch?v=5F2QBFjepmg,Gregory Isaacs
Its Going Down,Album: Count on It,,https://play.spotify.com/track/2bRuZ7oaJiYLJYGH7Vyn4M,https://www.youtube.com/results?search_query=Count%20Its%20Going%20Down,Count
Keep Her Happy (Ashley Beedle Heavy Disco Edit),"Album: Soul Spectrum Records, Vol. 1",,https://play.spotify.com/track/2Mh2ss3iIvAuSd6V6066W9,https://www.youtube.com/watch?v=9LGB3GdscI0,Phillip Wright
Elevate Our Minds,Album: Soul Culture: 03 Elevate Our Minds Metro Radical Beats,,https://play.spotify.com/track/74FQcR8t5N1DRDAwJPdsOH,https://www.youtube.com/watch?v=YO1vv8d6xyM,Linda Williams
Tudo o Que Você Podia Ser,Album: Clube Da Esquina,,https://play.spotify.com/track/7utwUkNCSkS4Ov8Uwo2wel,https://www.youtube.com/watch?v=GGmGMEVbTAY,Milton Nascimento
Them Changes,Album: Them Changes,Kompositör: Stephen Bruner,https://play.spotify.com/track/4u8031pTkTODbRaDCbx8Yv,https://www.youtube.com/watch?v=GNCd_ERZvZM,Thundercat
