title,album,composer,spotify,youtube,artist
Between The Sheets,Album: Mellow Groove (The Masters Series)      Utgiven:  2009,Kompositör: Isley Brothers,https://play.spotify.com/track/4Op7zgzZNm4Ydm0MwGfdZZ,https://www.youtube.com/results?search_query=Isley%20Brothers%20Between%20The%20Sheets,Isley Brothers
I'm On Fire,Album: I'm On Fire      Utgiven:  2010,Kompositör: Gene Evaro & Barry Ruff & Renee Ruff,https://play.spotify.com/track/54khGll8wxiY2tkosKv0u4,https://www.youtube.com/results?search_query=Champaign%20I'm%20On%20Fire,Champaign
Without You In My Life,,,,https://www.youtube.com/watch?v=eaOog1KN5TE,Marlena Shaw
No One's Gonna Love You,Album: No One's Gonna Love You      Utgiven:  1984,Kompositör: James (3) Harris & Terry Lewis,https://play.spotify.com/track/4XVtPPC6ILOWMFxTQxE4Ox,https://www.youtube.com/results?search_query=The%20Sos%20Band%20No%20One's%20Gonna%20Love%20You,The Sos Band
Will You Cry (When You Hear This Song),Album: Risqué      Utgiven:  1993,Kompositör: Bernard Edwards & Nile Rodgers,https://play.spotify.com/track/6VkO4kwmDSivqqEBuwUPMn,https://www.youtube.com/results?search_query=Chic%20Will%20You%20Cry%20(When%20You%20Hear%20This%20Song),Chic
Carry On,Album: Carry On      Utgiven:  1982,Kompositör: Bobby Caldwell,https://play.spotify.com/track/1e1ydzxTTqTtt3iimk6NnL,https://www.youtube.com/results?search_query=Bobby%20Caldwell%20Carry%20On,Bobby Caldwell
Mellow Mellow (Right On),Album: Mellow Mellow (Right On)      Utgiven:  1979,Kompositör: Larry Brownlee & Gus Redmond & Fred Simon & Jeffrey Simon,,https://www.youtube.com/results?search_query=Lowrell%20Simon%20Mellow%20Mellow%20(Right%20On),Lowrell Simon
Lately,Album: Blue Lines      Utgiven:  1991,Kompositör: L Browniee & Robert Del Naja & G Marshall & Shara Nelson & G Redmond & F E Simon & J Simon & A Vowles,https://play.spotify.com/track/5fJqDO9DG4kktfy19NrPcf,https://www.youtube.com/results?search_query=Massive%20Attack%20Lately,Massive Attack
Think Twice,Album: The Best Of Donald Byrd      Utgiven:  1992,Kompositör: Mbaji & Larry Mizell & Sigidi,https://play.spotify.com/track/1vq6x0VSLtVUHMbNKHh9sF,https://www.youtube.com/results?search_query=Donald%20Byrd%20Think%20Twice,Donald Byrd
The Memory,Album: ***UBIQUITY VIBRATIONS***      Utgiven:  2008,Kompositör: William Allen & Roy Ayers & Edwin Birdsong,https://play.spotify.com/track/4IWqC9tZ2u9r8u9FiaxKm5,https://www.youtube.com/results?search_query=Roy%20Ayers%20The%20Memory,Roy Ayers
Don't Fight My Love,"Album: Angel      Utgiven:  2010, Jass-Ay-Lay-Dee      Utgiven:",Kompositör: William Beck & Leroy Bonner & Marshall Jones & Ralph Middlebrooks & Marvin Pierce & Clarence Satchell & James Williams,https://play.spotify.com/track/5xEAgttqvHIT40kYSt4n8U,https://www.youtube.com/watch?v=u05VbkVtWlI,Ohio Players
Maiden Voyage,,,https://play.spotify.com/track/0IRiWl43ijpLTWdoWx2AkA,https://www.youtube.com/results?search_query=Norman%20Connors%20Maiden%20Voyage,Norman Connors
Sweet Stuff,Album: Sweet Stuff      Utgiven:  1976,Kompositör: Al Goodman & Harry Ray & Sylvia Robinson,https://play.spotify.com/track/6fDKbHUxyXLp8QkalF7IG5,https://www.youtube.com/results?search_query=Sylvia%20Sweet%20Stuff,Sylvia
Oh Honey,Album: Oh Honey      Utgiven:  2012,Kompositör: Okänd,https://play.spotify.com/track/3TiCuJiisBOB9HzKAM6FDG,https://www.youtube.com/results?search_query=Delegation%20Oh%20Honey,Delegation
I Believe In Miracles,Album: I Believe In Miracles      Utgiven:  2011,Kompositör: Mark Capanni & Bobby Taylor,https://play.spotify.com/track/2yXjbTKV40XLX2oCbyWz9k,https://www.youtube.com/results?search_query=Mark%20Capanni%20I%20Believe%20In%20Miracles,Mark Capanni
I Want To Thank You,Album: I Want To Thank You      Utgiven:  1982,Kompositör: Vee Allen & Jack Hall & Al Hudson,https://play.spotify.com/track/4LOGCnkKy1dZVy1yRQ5yBS,https://www.youtube.com/results?search_query=Alicia%20Myers%20I%20Want%20To%20Thank%20You,Alicia Myers
Devotion,Album: Open Our Eyes      Utgiven:  2001,Kompositör: Philip Bailey & Maurice White,https://play.spotify.com/track/32lJs0aJ4FH0l8XtxSkdi6,https://www.youtube.com/watch?v=VXrgnZvRg-c,Earth Wind & Fire
Curious,Album: Curious      Utgiven:  2000,Kompositör: Melvin Gentry,https://play.spotify.com/track/6DvYI2kO0T2OAfQ5sRqO8p,https://www.youtube.com/results?search_query=Midnight%20Star%20Curious,Midnight Star
Georgy Porgy,Album: Toto,Kompositör: DAVID PAICH,https://play.spotify.com/track/5jQcJ2st6yHWhUBjoDoZPH,https://www.youtube.com/results?search_query=Toto%20Georgy%20Porgy,Toto
Tell Me,Album: Tell Me      Utgiven:  1995,Kompositör: D Brown & Amel Larrieux & Bryce Wilson,https://play.spotify.com/track/2lp8xjq0WTm3HZKHuDEweg,https://www.youtube.com/results?search_query=Groove%20Theory%20Tell%20Me,Groove Theory
"Love No Limit (Remix Version) Love No Limit,",Album: Love No Limit (Remix Version)      Utgiven:  1993,Kompositör: Dave Hall & Gordon G Love,,"https://www.youtube.com/results?search_query=Mary%20J%20Blige%20%26%20Kid%20Capri%20Love%20No%20Limit%20(Remix%20Version)%20Love%20No%20Limit,",Mary J Blige & Kid Capri
"Risin' To The Top, Rising To The Top",Album: Sampled (4)      Utgiven:  2003,Kompositör: Keni Burke & Allan Felder,https://play.spotify.com/track/5iVxHPyHVO7vWSDnRpNH5d,"https://www.youtube.com/results?search_query=Keni%20Burke%20Risin'%20To%20The%20Top,%20Rising%20To%20The%20Top",Keni Burke
Take You There,Album: The Main Ingredient      Utgiven:  1994,Kompositör: C Penn & P Philips,https://play.spotify.com/track/5rU9KVNHOl6VtoBXlGfwO8,https://www.youtube.com/results?search_query=Pete%20Rock%20%26%20Cl%20Smooth%20Take%20You%20There,Pete Rock & Cl Smooth
I Like It (I Wanna Be Where You Are),Album: 2000      Utgiven:  1995,Kompositör: M Dixon & A Martin,https://play.spotify.com/track/2HaMsIYFmZkKkUn1NTFPgL,https://www.youtube.com/results?search_query=Grand%20Puba%20I%20Like%20It%20(I%20Wanna%20Be%20Where%20You%20Are),Grand Puba
I Like It,Album: Greatest Hits (Debarge)      Utgiven:  1986,Kompositör: Eldra Debarge & Randy Debarge,https://play.spotify.com/track/5diaagbh6oTAmGQboy8D1r,https://www.youtube.com/results?search_query=Debarge%20I%20Like%20It,Debarge
"Lookin' Up To You, Looking Up To You",Album: Sampled (2)      Utgiven:  2001,Kompositör: Z Grey & L Ware,,"https://www.youtube.com/results?search_query=Michael%20Wycoff%20Lookin'%20Up%20To%20You,%20Looking%20Up%20To%20You",Michael Wycoff
Hey Mister Dj,Album: Request Line      Utgiven:  1997,Kompositör: Kay Gee & Renée Neufville,,https://www.youtube.com/results?search_query=Zhan%c3%a9%20Hey%20Mister%20Dj,Zhané
Right Here,Album: Right Here,Kompositör: Tamara Johnson/Brian Alexander Morgan,https://play.spotify.com/track/7tUEDtHchueeUJTfEFEhii,https://www.youtube.com/results?search_query=SWV%20Right%20Here,SWV
African Woman,,,https://play.spotify.com/track/46YlqYSswqI71ranPiLOkS,https://www.youtube.com/results?search_query=Third%20World%20African%20Woman,Third World
Rastaman Rock,Album: Rastaman Rock      Utgiven:  2013,Kompositör: Okänd,https://play.spotify.com/track/4n7vG2sZ3t6ohSCqOYPNY4,https://www.youtube.com/results?search_query=Fabiano%20Orchestra%20Rastaman%20Rock,Fabiano Orchestra
Midnight,Album: Midnight      Utgiven:  1980,Kompositör: Okänd,https://play.spotify.com/track/2OYjyBleYnGwSWQxfyVsDD,https://www.youtube.com/results?search_query=Willie%20Lindo%20Midnight,Willie Lindo
Loran's Dance,Album: 500% Dynamite      Utgiven:  2001,Kompositör: Grover (2) Washington,,https://www.youtube.com/results?search_query=Mudies%20All-Stars%20Loran's%20Dance,Mudies All-Stars
