title,album,composer,spotify,youtube,artist
No Condition Is Permanent,Album: ***GHANA SOUNDZ AFRO BEAT FUNK AND FUSION IN 70S GHANA (2)***      Utgiven:  2,Kompositör: Marijata,https://play.spotify.com/track/4RY7JyzWaluUWKg3zPKOdk,https://www.youtube.com/results?search_query=Marijata%20No%20Condition%20Is%20Permanent,Marijata
Slipping Into Darkness,Album: ***Cold Heat***,Kompositör: Okänd,https://play.spotify.com/track/0YnNY42QsSeDXyNHSM2zsh,https://www.youtube.com/results?search_query=The%20Dayton%20Sidewinders%20Slipping%20Into%20Darkness,The Dayton Sidewinders
Words To My Song,,Kompositör: Cyril Ferguson,https://play.spotify.com/track/5ZGO4pqinHdJuyqJEEwcbE,https://www.youtube.com/results?search_query=Dry%20Bread%20Words%20To%20My%20Song,Dry Bread
Baby Do That Thing,,Kompositör: Bernard Broomer & James Bishop & Norman Harris,https://play.spotify.com/track/0zjBGMPPfyagWvt5GShzx8,https://www.youtube.com/results?search_query=Honey%20%26%20The%20Bees%20Baby%20Do%20That%20Thing,Honey & The Bees
New Generation,"Album: ***Florida Funk,2006***",Kompositör: Morgan,,https://www.youtube.com/results?search_query=The%20Universals%20New%20Generation,The Universals
You've Been Gone Too Long,Album: ***YOU'RE GONNA MISS ME***      Utgiven:  1993,Kompositör: Ann Sexton Burton & Melvin Burton & David Lee,https://play.spotify.com/track/0cQ2MWtwt4EJbnzUjScSWo,https://www.youtube.com/results?search_query=Ann%20Sexton%20You've%20Been%20Gone%20Too%20Long,Ann Sexton
I'm A Good Woman,Album: ***A GOOD WOMAN***      Utgiven:  2011,Kompositör: Barbara Linda Ozen,https://play.spotify.com/track/66vDBjvjz2YvSF9yJ9JnC5,https://www.youtube.com/watch?v=AzmwZo2mBGU,Barbara Lynn
Just Can't Live My Life,Album: ***AFTER HOURS - THE COLLECTION - NORTERN SOUL MASTERS (2)***      Utgiven:  2,Kompositör: Kerr,https://play.spotify.com/track/7BFMG2WMydVaj7jxl6sK3e,https://www.youtube.com/results?search_query=Linda%20Jones%20Just%20Can't%20Live%20My%20Life,Linda Jones
Send Him Back,Album: ***AFTER HOURS - THE COLLECTION - NORTERN SOUL MASTERS (3)***      Utgiven:  2,Kompositör: Joe Broussard & Richard Caiton & Maria Tynes,https://play.spotify.com/track/7LEupq2aTjjGI2vXBV4K2N,https://www.youtube.com/results?search_query=Pointer%20Sisters%20Send%20Him%20Back,Pointer Sisters
You Keep Me Hangin On,Album: Best Of Diana Ross & The Supremes (1),,https://play.spotify.com/track/2S0A49bWVQfPEourO4CDe1,https://www.youtube.com/results?search_query=Diana%20Ross%20%26%20The%20Supremes%20You%20Keep%20Me%20Hangin%20On,Diana Ross & The Supremes
Let's Wade In The Water,Album: ***SOULBOY - JOE MCCAIN'S MIX TAPE***      Utgiven:  2010,Kompositör: Lee Magid & Marlena Shaw,https://play.spotify.com/track/0l2CjLs5IuME1bZeRfNSrm,https://www.youtube.com/results?search_query=Marlena%20Shaw%20Let's%20Wade%20In%20The%20Water,Marlena Shaw
Wade In The Water,Album: ***THE CHESS STORY 1947-1975 (11)***      Utgiven:  1999,Kompositör: Trad & Ramsey Lewis,https://play.spotify.com/track/1asqBrJSSsDvpsP8e0RlHm,https://www.youtube.com/results?search_query=Ramsey%20Lewis%20Wade%20In%20The%20Water,Ramsey Lewis
Sweetback's Theme,Album: ***SWEET SWEETBACKS'S BAADASSSSS SONG***      Utgiven:  1997,Kompositör: Melvin Van Peebles,,https://www.youtube.com/results?search_query=Earth%20Wind%20%26%20Fire%20Sweetback's%20Theme,Earth Wind & Fire
The Vulture,Album: ***THE VULTURE***      Utgiven:  2003,Kompositör: Labi Siffre,https://play.spotify.com/track/3tBc6zaW5ojbpgKAn3iCL2,https://www.youtube.com/results?search_query=Labi%20Siffre%20The%20Vulture,Labi Siffre
Slinky,Album: ***THE BEST OF BLACK JAZZ RECORDS***      Utgiven:  1996,Kompositör: Ken Chaney,,https://www.youtube.com/results?search_query=The%20Awakening%20(Usa)%20Slinky,The Awakening (Usa)
