title,album,composer,spotify,youtube,artist
Never Had A Love Like This Before,Album: ***THE HEART TO SOUL OF TAVARES***      Utgiven:  1990,Kompositör: Zane Grey & Len Ron Hanks,https://play.spotify.com/track/19aHVO2vTQcx40AhHpJZdy,https://www.youtube.com/results?search_query=Tavares%20Never%20Had%20A%20Love%20Like%20This%20Before,Tavares
I Believe In Miracles,Album: ***I BELIEVE IN MIRACLES***      Utgiven:  2011,Kompositör: Mark Capanni & Bobby Taylor,https://play.spotify.com/track/2yXjbTKV40XLX2oCbyWz9k,https://www.youtube.com/results?search_query=Mark%20Capanni%20I%20Believe%20In%20Miracles,Mark Capanni
Right On For The Darkness,Album: ***SAMPLED (3)***      Utgiven:  2002,Kompositör: Curtis Mayfield,https://play.spotify.com/track/5X5NVa0sD3LKTMyrgHjx51,https://www.youtube.com/results?search_query=Curtis%20Mayfield%20Right%20On%20For%20The%20Darkness,Curtis Mayfield
Funkier Than A Mosquito's Tweeter,"Album: ***EMERGENCY WARD***      Utgiven:  2002, ***IT IS FINISHED***      Utgiven:",Kompositör: Bullock,https://play.spotify.com/track/5wBi26umb4oxXLmpJ32BWV,https://www.youtube.com/results?search_query=Nina%20Simone%20Funkier%20Than%20A%20Mosquito's%20Tweeter,Nina Simone
Faith,Album: ***FAITH***      Utgiven:  2005,Kompositör: Faruk Green,https://play.spotify.com/track/1sFTTR2kEureDUofSbtDl4,https://www.youtube.com/results?search_query=Faruk%20Green%20Faith,Faruk Green
Lover,Album: ***KOOLA LOBITOS / THE 69' L.A. SESSIONS***      Utgiven:  2001,Kompositör: Fela Anikulapo-Kuti,,https://www.youtube.com/results?search_query=Fela%20Anikulapo-Kuti%20Lover,Fela Anikulapo-Kuti
Mad Mouth Woman,,Kompositör: Wayne Carter,https://play.spotify.com/track/3xaWlxibJe9D4ftzjIezaL,https://www.youtube.com/results?search_query=Wayne%20Carter%20Mad%20Mouth%20Woman,Wayne Carter
Make It Fast Make It Slow,"Album: ***GHANA SOUNDZ: AFRO-BEAT, FUNK AND FUSION IN 70S GHANA (1)***      Utgiven:",Kompositör: Rob,,https://www.youtube.com/results?search_query=Rob%20Make%20It%20Fast%20Make%20It%20Slow,Rob
Call My Name,Album: ***CALL MY NAME***      Utgiven:  2005,Kompositör: Daniel Collas,https://play.spotify.com/track/5aQReUTfm5eKl2pIvkEMF0,https://www.youtube.com/results?search_query=Joe%20Bataan%20Call%20My%20Name,Joe Bataan
Ramon's Desire,Album: ***RAMON'S DESIRE***      Utgiven:  2010,Kompositör: Okänd,https://play.spotify.com/track/27mOWaXk9PGMzCTpGJ20FW,https://www.youtube.com/results?search_query=Francisco%20Aguabella%20Ramon's%20Desire,Francisco Aguabella
